BORO,Borough Name,median cap rate,mean cap rate
1,Manhattan,0.02188566056338028,0.03445420892517657
2,Bronx,0.032705142857142856,0.03137758074127064
3,Queens,0.03751360702166203,0.12585778098927514
4,Brooklyn,0.0373273191517044,0.03084246959361738
